B01.01,1,9,0.2,10.4,0.2,36.8,0.3,3400,200
B01.02,2,9.1,0.6,10.5,1,36.8,0.8,3500,400
B01.03,3,8.9,0.1,10.1,0.3,36.5,0.3,3281,0.44
B01.04,4,9,0.5,10.4,0.5,36.9,0.5,3400,0.9
B01.05,5,8.9,0.1,10.4,0.1,37,0.1,3400,51
B01.06,6,9,0.3,10.4,0.3,36.7,0.5,3435,158.5
B01.07,7,9.1,0.2,10.5,0.2,36.9,0.2,3510,100
B01.08,8,9,0.25,10,0.25,36.5,0.5,3285,129.4
B01.09,8,9.1,0.1,10.5,0.3,36.6,0.2,3500,0.37
B01.10,9,9,0.5,10,0.5,36.8,0.5,3312,252
B01.11,10,9.2,0.2,10.5,0.3,36.8,0.2,3554,129
B02.01,2,9,0.5,10.5,0.5,37,0.5,3496.5,260.2
B02.02,6,9,0.2,10.3,0.2,35.6,0.2,3300.12,99.137
B02.03,4,9,0.5,10.5,0.5,37,0.5,3496.5,260
B02.04,5,9,0.3,10.5,0.3,37,0.3,3500,200
B02.05,8,9,1,11,1,37,1,3663,839
B02.06,1,9,0.4,10.5,0.4,32,0.4,3024,181.5
B02.07,7,9.1,0.25,10.4,0.25,36.9,0.25,3490,130
B02.08,3,9,0.2,10.3,0.2,36.8,0.3,3411.36,0.2
B02.09,10,8.87,0.05,10.05,0.05,36.65,0.11,3267,26.4
B02.10,10,8.9,0.34,10.1,0.34,36.6,0.34,3289.97,170.284
B02.11,9,9,0.1,10,0.1,36.5,0.2,3285,52.3
B02.12,5,9,0.05,10,0.15,37,0.1,3330,54.021
B02.13,4,9,1,10,1,37,1,3330,500
B02.14,8,9,0.5,10.5,0.5,36.5,0.5,3449,550
B03.01,8,9,0.04,10.6,0.06,36.8,0.04,3490,20
B03.02,8,9,0.3,10.5,0.3,36.6,1.1,3500,200
B03.03,10,8.43,0.212,9.5,0.224,36.23,0.309,2901.48,126
B03.04,6,9.125,0.139,10.475,0.315,36.7,0.27,3507.946,120
B03.05,1,9,0.03,10.1,0.11,36.9,0.04,3354,90
B03.06,7,9.2,0.03,10.8,0.04,37,0.03,3678,46
B03.07,3,8.92143,0.2,10.1643,0.4,36.507,0.5,3310.65,159.9
B03.08,1,8.97,0.03,10.37,0.03,36.86,0.05,3428.677,118
B03.09,9,9,0,10,0,36.4,0.3,3276,54
B03.10,9,9,0.3,10.2,0.3,36.8,0.25,3378.4,159.1
B03.11,10,9,0.3,10.3,0.3,36.8,0.3,3410,130
B03.12,2,9,1,10.3,1.17,36.8,1.12,3410,400
B03.13,3,9.1,0.3,10.4,0.3,37,0.5,3500,170
B03.14,4,9.07,0.3,10.4,0.3,36.8,0.3,3470,150
B03.15,5,8.8,0.3,10.4,0.4,36.8,0.3,3368,175
B03.16,7,9.03,0.1,10.48,0.1,36.88,0.3,3486,58
B04.01,5,8.7,0.33,10.3,0.33,36.6,0.33,3280,5
B04.02,8,9,0.3,10,0.3,36,0.5,3240,189.7
B04.03,9,9,0.1,10,0.1,36.5,0.1,3280,48.9
B04.04,1,9,0.1,10.3,0.2,36.9,0.2,3421,120
B04.05,2,9,0.5,10.5,0.5,37,0.5,3496.5,260
B04.06,4,9,1,10,1,37,1,3330,506
B04.07,7,9,1,10,1,37,1,3330,506
B04.08,10,9,0.2,10.5,0.5,36.5,0.5,3950,190
B01.01,1,9.0,0.5,10.2,0.5,36.7,0.5,3320,250
B01.02,2,9.0,1.0,10.0,1.0,37.0,1.0,3300,500
B01.03,3,9.0,0.5,10.0,0.5,36.0,0.5,3200,350
B01.04,4,0.9,0.02,1.0,0.05,3.7,0.02,3.3,0.2
B01.05,5,9.0,0.5,10.5,0.5,37.0,0.5,3496,0.87
B01.06,6,9.1,0.2,10.6,0.2,36.7,0.2,3540,160
B01.07,7,9.0,0.1,10.2,0.1,36.9,0.1,3400,500
B01.08,8,9.1,0.1,10.3,0.1,36.9,0.1,3460,80
B01.09,8,9.0,0.05,10.15,0.05,36.75,0.1,3360,30
B01.10,9,9.0,0.5,10.0,0.5,32.0,0.5,2900,200
