B01.01,1,9,0.5,10.5,0.5,37,0.5,3496.5,0.125
B01.02,1,37,0.2,9.1,0.2,10.5,0.3,3535.35,0.412
B01.03,2,36.9,0.4,9,0.4,10.2,0.4,3400,200
B01.04,2,9,0.1,11,0.15,37,0.2,3663,0.27
B01.05,3,9,0.5,10,0.5,36.5,0.5,3285,391.75
B01.06,3,8.92,0.03,10.32,0.03,36.88,0.03,3395,15
B01.07,4,9.2,0.25,10.4,0.25,36.8,0.25,3521.024,129.9645
B01.08,4,36.8,0.2,9,0.2,10,0.1,3312,82.7
B01.09,5,9,0.5,10.5,0.5,37,0.5,3496.5,410
B01.10,5,9,0.25,10.5,0.5,36.5,0.5,3449.25,307
B01.11,6,9.1,0.2,10.3,0.25,31.7,0.25,2971.2,100.5
B01.12,6,9,0.2,10.5,0.2,36.7,0.2,3470,160
